[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1201241390.953000 1/25/2008, 3:09:50 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, Pr(Ru0.90Rh0.10)4P12
INFO, WEIGHT, 275.200
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, Sample lot No.2
INFO, SEQUENCE FILE: Rh_doped.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1201256593.515,,1.000000e+003,2.525910e+002,1.443059e-003,3.082812e-007,3,9.846483e-001,2.136303e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.194977e-001,0.000000e+000,0,,0,
1201256799.281,,1.000000e+003,2.565800e+002,1.420868e-003,3.834375e-007,3,9.847746e-001,2.698615e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.885986e-001,0.000000e+000,0,,0,
1201257007.500,,1.000000e+003,2.605413e+002,1.399714e-003,3.775106e-007,3,9.847584e-001,2.697055e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.202148e-001,0.000000e+000,0,,0,
1201257213.046,,1.000000e+003,2.645609e+002,1.379044e-003,4.164471e-007,3,9.847536e-001,3.019825e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.335144e-001,0.000000e+000,0,,0,
1201257436.968,,1.000000e+003,2.684064e+002,1.358362e-003,1.764899e-007,3,9.848394e-001,1.299285e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.788025e-001,0.000000e+000,0,,0,
1201257647.140,,1.000000e+003,2.724462e+002,1.338881e-003,2.714850e-007,3,9.850408e-001,2.027701e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.701965e-001,0.000000e+000,0,,0,
1201257854.093,,1.000000e+003,2.764442e+002,1.320083e-003,2.572440e-007,3,9.849821e-001,1.948695e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.607056e-001,0.000000e+000,0,,0,
1201258060.343,,1.000000e+003,2.804208e+002,1.302024e-003,5.004115e-007,3,9.848872e-001,3.843337e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.654968e-001,0.000000e+000,0,,0,
1201258268.718,,1.000000e+003,2.844036e+002,1.284014e-003,2.678630e-007,3,9.850025e-001,2.086137e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.702881e-001,0.000000e+000,0,,0,
1201258478.562,,1.000000e+003,2.883480e+002,1.266442e-003,3.078696e-007,3,9.849673e-001,2.430981e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.593018e-001,0.000000e+000,0,,0,
1201258685.406,,1.000000e+003,2.923438e+002,1.250149e-003,3.369279e-007,3,9.848585e-001,2.695101e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.127991e-001,0.000000e+000,0,,0,
1201258893.406,,1.000000e+003,2.963001e+002,1.234657e-003,6.165623e-007,3,9.848189e-001,4.993793e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.347046e-001,0.000000e+000,0,,0,
1201259096.609,,1.000000e+003,3.002884e+002,1.219814e-003,6.056963e-007,3,9.849347e-001,4.965479e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.250061e-001,0.000000e+000,0,,0,
1210315767.218,,1.000000e+003,2.004261e+000,2.482169e-002,1.674021e-006,3,9.857924e-001,6.744185e-003,,,,,,,,,,,,,,32,2,4.000000e+000,2.233982e-003,0.000000e+000,0,,0,
1210317139.500,,1.000000e+003,5.998514e+000,2.081779e-002,4.493908e-006,3,9.857785e-001,2.158686e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.047897e-002,0.000000e+000,0,,0,
1210318463.390,,1.000000e+003,9.993097e+000,1.890409e-002,3.603556e-006,3,9.857693e-001,1.906231e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.176548e-002,0.000000e+000,0,,0,
1210318620.687,,1.000000e+003,1.400062e+001,1.657839e-002,2.109977e-006,3,9.857869e-001,1.272727e-002,,,,,,,,,,,,,,32,2,4.000000e+000,9.099960e-003,0.000000e+000,0,,0,
1210318781.515,,1.000000e+003,1.796754e+001,1.468524e-002,1.291406e-006,3,9.858129e-001,8.793905e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.699448e-003,0.000000e+000,0,,0,
1210318966.609,,1.000000e+003,2.194725e+001,1.323048e-002,8.100365e-008,3,9.859803e-001,6.122502e-004,,,,,,,,,,,,,,32,2,4.000000e+000,9.710312e-003,0.000000e+000,0,,0,
1210319142.375,,1.000000e+003,2.591293e+001,1.209899e-002,1.940072e-006,3,9.858871e-001,1.603499e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.160072e-002,0.000000e+000,0,,0,
1210319328.656,,1.000000e+003,2.988753e+001,1.118708e-002,1.459335e-006,3,9.858783e-001,1.304482e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.485085e-002,0.000000e+000,0,,0,
1210319526.062,,1.000000e+003,3.386279e+001,1.042682e-002,1.780704e-006,3,9.859022e-001,1.707811e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.394867e-002,0.000000e+000,0,,0,
1210319736.046,,1.000000e+003,3.783183e+001,9.778410e-003,1.617385e-006,3,9.859589e-001,1.654037e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.108978e-002,0.000000e+000,0,,0,
1210319958.546,,1.000000e+003,4.181658e+001,9.211987e-003,1.117550e-006,3,9.859637e-001,1.213148e-002,,,,,,,,,,,,,,32,2,4.000000e+000,9.777069e-003,0.000000e+000,0,,0,
1210320176.218,,1.000000e+003,4.577965e+001,8.704264e-003,1.395456e-006,3,9.859750e-001,1.603187e-002,,,,,,,,,,,,,,32,2,4.000000e+000,4.713058e-002,0.000000e+000,0,,0,
